Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Tucker Fisk,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,13.69,1.022,0.0694671016856987,0.9305328983143012,9.59x,Higher,33.1%
Charlie Kolar,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,13.67,1.022,0.069561666212905,0.9304383337870952,9.45x,Higher,29.6%
Tylan Wallace,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,12.93,1.025,0.073450376209244,0.926549623790756,8.82x,Higher,25.9%
Hassan Haskins,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,11.39,1.033,0.0831522176607904,0.9168477823392096,7.39x,Higher,13.3%
Brock Wright,9:30am,Rush + Rec TDs,Pinnacle,0.5,0.5,0,9.92,1.043,0.0951381921007023,0.9048618078992976,6.08x,Higher,0.4%
Nelson Agholor,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,8.62,1.057,0.1092280665495504,0.8907719334504495,5.17x,Higher,-4.3%
Derius Davis,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,8.92,1.054,0.1056747543613394,0.8943252456386604,5.27x,Higher,-7.0%
Diontae Johnson,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,8.21,1.063,0.1146338833171573,0.8853661166828426,4.78x,Higher,-9.9%
Keaton Mitchell,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,7.86,1.069,0.11972225333184,0.8802777466681599,4.49x,Higher,-13.3%
Jalen Reagor,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,7.89,1.068,0.1192230408573342,0.8807769591426656,4.49x,Higher,-14.0%
Will Dissly,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.43,1.304,0.2754541613857203,0.7245458386142797,1.81x,Higher,-25.6%
Tim Patrick,9:30am,Rush + Rec TDs,Pinnacle,0.5,0.5,0,5.83,1.119,0.1610303640811627,0.8389696359188372,3.07x,Higher,-26.7%
Justice Hill,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,5.46,1.134,0.1719745222929936,0.8280254777070064,2.81x,Higher,-29.9%
Caleb Williams,9:30am,Rush + Rec TDs,Pinnacle,0.5,0.5,0,5.1,1.151,0.1841305391137418,0.8158694608862581,2.61x,Higher,-30.7%
Justin Herbert,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,5.13,1.15,0.1831210191082802,0.8168789808917198,2.59x,Higher,-32.5%
Isaiah Likely,5:15pm,First TD Scorer,Pinnacle,0.5,0.5,0,14.08,1.021,0.0676114164624859,0.932388583537514,6.93x,Higher,-34.1%
Cole Kmet,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,4.43,1.194,0.2123044096728307,0.7876955903271693,2.21x,Higher,-38.0%
Mark Andrews,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.55,1.287,0.2660740128178623,0.7339259871821376,1.75x,Higher,-39.4%
Isaiah Likely,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,4.27,1.207,0.220376118312945,0.779623881687055,2.09x,Higher,-41.4%
Sam LaPorta,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.74,1.26,0.252,0.7480000000000001,1.81x,Higher,-43.1%
Roschon Johnson,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.38,1.312,0.2796248934356351,0.7203751065643649,1.63x,Higher,-43.2%
Rome Odunze,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,4.0,1.251,0.2382403351742525,0.7617596648257475,1.91x,Higher,-43.5%
Joshua Palmer,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.84,1.249,0.2454313224602083,0.7545686775397916,1.85x,Higher,-43.8%
Keenan Allen,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.97,1.255,0.2401913875598086,0.7598086124401914,1.89x,Higher,-43.9%
Rashod Bateman,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.58,1.283,0.2638289121941188,0.7361710878058813,1.71x,Higher,-44.9%
Mark Andrews,5:15pm,First TD Scorer,Pinnacle,0.5,0.5,0,12.66,1.026,0.0749671196843489,0.9250328803156512,5.65x,Higher,-46.2%
Lamar Jackson,5:15pm,Rush + Rec TDs,Pinnacle,0.5,0.5,0,3.24,1.337,0.2921127376010487,0.7078872623989514,1.52x,Higher,-47.5%
